2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Training Configuration
2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Runs: 50
2026-01-07 11:17:13 | INFO     | q_learning | Episodes per run: 300
2026-01-07 11:17:13 | INFO     | q_learning | Learning rate: 0.001
2026-01-07 11:17:13 | INFO     | q_learning | Gamma (discount): 0.99
2026-01-07 11:17:13 | INFO     | q_learning | Epsilon (exploration): 0.1
2026-01-07 11:17:13 | INFO     | q_learning | Render mode: DISABLED
2026-01-07 11:17:13 | INFO     | q_learning | Verbose logging: DISABLED
2026-01-07 11:17:13 | INFO     | q_learning | WandB Project: dqn_cartpole
2026-01-07 11:17:13 | INFO     | q_learning | WandB Group: CartPole-v1_DQN_20260107_111713
2026-01-07 11:17:13 | INFO     | q_learning | Log file: ./output/training_20260107_111713.log
2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | 
================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Starting Run 1/50
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  102 | Reward:   9.00 | Steps:    9 | Avg(10):  10.10 | Loss: 12.866233
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  103 | Reward:  10.00 | Steps:   10 | Avg(10):  10.10 | Loss: 11.465222
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  104 | Reward:  11.00 | Steps:   11 | Avg(10):  10.10 | Loss: 10.096916
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  105 | Reward:  10.00 | Steps:   10 | Avg(10):  10.20 | Loss: 9.704357
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  106 | Reward:   9.00 | Steps:    9 | Avg(10):  10.10 | Loss: 11.442155
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  107 | Reward:  10.00 | Steps:   10 | Avg(10):  10.10 | Loss: 8.152513
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  108 | Reward:  10.00 | Steps:   10 | Avg(10):  10.00 | Loss: 7.412622
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  109 | Reward:  10.00 | Steps:   10 | Avg(10):  10.10 | Loss: 6.561998
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  110 | Reward:  10.00 | Steps:   10 | Avg(10):  10.20 | Loss: 7.673168
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  111 | Reward:   9.00 | Steps:    9 | Avg(10):   9.80 | Loss: 6.790841
